Date,CSource,State,Month,State_Code,State_Abbr,CSrc_Simplified,CSrc_Freq
26-Jan-18,MSN,florida ,January,12,FL,microsoft,1213
23-Jan-18,email,colorado ,January,8,CO,email,4952
2-Jan-18,31,north carolina ,January,37,NC,other,13363
2-Jan-18,google_display_network,michigan ,January,26,MI,google,34708
10-Mar-18,google_display_network,missouri ,March,29,MO,google,34708
21-Jan-18,google_display_network,california ,January,6,CA,google,34708
15-Feb-18,31,maryland ,February,24,MD,other,13363
17-Jan-18,unknown,maryland ,January,24,MD,unknown,10982
8-Feb-18,bing,california ,February,6,CA,bing,3143
17-Jan-18,weather,tennessee ,January,47,TN,weather,642
9-Mar-18,google_display_network,new york ,March,36,NY,google,34708
23-Mar-18,stringo_middle,maryland ,March,24,MD,stringo,459
28-Feb-18,google_display_network,vermont ,February,50,VT,google,34708
21-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
21-Mar-18,email,california ,March,6,CA,email,4952
12-Jan-18,google_display_network,new jersey ,January,34,NJ,google,34708
28-Feb-18,Tronc,alaska ,February,2,AK,tronc,110
23-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
8-Feb-18,1,california ,February,6,CA,other,13363
22-Jan-18,27,pennsylvania ,January,42,PA,other,13363
24-Feb-18,google,texas ,February,48,TX,google,34708
16-Mar-18,1,california ,March,6,CA,other,13363
30-Mar-18,aol,texas ,March,48,TX,aol,3440
24-Jan-18,www.google.com,connecticut ,January,9,CT,google,34708
31-Jan-18,google,pennsylvania ,January,42,PA,google,34708
23-Feb-18,google,utah ,February,49,UT,google,34708
14-Mar-18,google,arkansas ,March,5,AR,google,34708
15-Mar-18,1,california ,March,6,CA,other,13363
20-Feb-18,google,new jersey ,February,34,NJ,google,34708
16-Jan-18,unknown,texas ,January,48,TX,unknown,10982
9-Jan-18,1,florida ,January,12,FL,other,13363
15-Feb-18,google_display_network,louisiana ,February,22,LA,google,34708
15-Jan-18,unknown,texas ,January,48,TX,unknown,10982
14-Jan-18,bing,missouri ,January,29,MO,bing,3143
3-Jan-18,facebook,washington ,January,53,WA,facebook,1796
24-Jan-18,google,new jersey ,January,34,NJ,google,34708
4-Jan-18,google_display_network,missouri ,January,29,MO,google,34708
12-Jan-18,facebook,ohio ,January,39,OH,facebook,1796
9-Feb-18,email,florida ,February,12,FL,email,4952
12-Feb-18,google_display_network,florida ,February,12,FL,google,34708
22-Feb-18,outbrain,georgia ,February,13,GA,outbrain,71
1-Feb-18,google_display_network,texas ,February,48,TX,google,34708
16-Mar-18,taboola,rhode island ,March,44,RI,other,13363
9-Mar-18,google_display_network,texas ,March,48,TX,google,34708
13-Feb-18,google_display_network,alabama ,February,1,AL,google,34708
4-Jan-18,google_display_network,colorado ,January,8,CO,google,34708
4-Mar-18,31,new york ,March,36,NY,other,13363
26-Mar-18,27,florida ,March,12,FL,other,13363
8-Jan-18,google_display_network,california ,January,6,CA,google,34708
6-Feb-18,bankrate_com,nebraska ,February,31,NE,other,13363
7-Mar-18,creditcards.lendingtree.com,virginia ,March,51,VA,Lending Tree/Partners,332
16-Mar-18,unknown,virginia ,March,51,VA,unknown,10982
12-Mar-18,bing,minnesota ,March,27,MN,bing,3143
26-Feb-18,1,florida ,February,12,FL,other,13363
28-Jan-18,google,maine ,January,23,ME,google,34708
28-Jan-18,bing,california ,January,6,CA,bing,3143
19-Jan-18,google_display_network,nevada ,January,32,NV,google,34708
6-Jan-18,31,georgia ,January,13,GA,other,13363
10-Mar-18,google,new york ,March,36,NY,google,34708
1-Feb-18,unknown,south carolina ,February,45,SC,unknown,10982
26-Jan-18,google,colorado ,January,8,CO,google,34708
4-Feb-18,31,georgia ,February,13,GA,other,13363
21-Jan-18,google_display_network,pennsylvania ,January,42,PA,google,34708
27-Feb-18,31,nevada ,February,32,NV,other,13363
9-Mar-18,taboola,washington ,March,53,WA,other,13363
19-Mar-18,Pandora,california ,March,6,CA,pandora,169
19-Jan-18,1,texas ,January,48,TX,other,13363
1-Jan-18,31,georgia ,January,13,GA,other,13363
6-Feb-18,google_display_network,massachusetts ,February,25,MA,google,34708
28-Feb-18,google,missouri ,February,29,MO,google,34708
8-Mar-18,unknown,virginia ,March,51,VA,unknown,10982
9-Mar-18,1,california ,March,6,CA,other,13363
7-Feb-18,google_display_network,new jersey ,February,34,NJ,google,34708
23-Feb-18,criteo,new mexico ,February,35,NM,criteo,1599
11-Mar-18,google,michigan ,March,26,MI,google,34708
16-Mar-18,unknown,illinois ,March,17,IL,unknown,10982
27-Jan-18,google,texas ,January,48,TX,google,34708
5-Jan-18,unknown,nevada ,January,32,NV,unknown,10982
16-Jan-18,com.google.android.gm,texas ,January,48,TX,google,34708
25-Jan-18,unknown,new york ,January,36,NY,unknown,10982
15-Mar-18,google,ohio ,March,39,OH,google,34708
9-Jan-18,31,california ,January,6,CA,other,13363
30-Jan-18,google,illinois ,January,17,IL,google,34708
12-Feb-18,unknown,florida ,February,12,FL,unknown,10982
23-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
30-Jan-18,www.google.com,north carolina ,January,37,NC,google,34708
30-Jan-18,google_display_network,massachusetts ,January,25,MA,google,34708
1-Feb-18,google_display_network,florida ,February,12,FL,google,34708
2-Jan-18,google_display_network,ohio ,January,39,OH,google,34708
10-Mar-18,unknown,california ,March,6,CA,unknown,10982
17-Jan-18,google,california ,January,6,CA,google,34708
2-Mar-18,google_display_network,illinois ,March,17,IL,google,34708
16-Jan-18,MSN,new mexico ,January,35,NM,microsoft,1213
24-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
6-Feb-18,google,texas ,February,48,TX,google,34708
4-Feb-18,Pandora,california ,February,6,CA,pandora,169
7-Feb-18,bing,new jersey ,February,34,NJ,bing,3143
